state_id,fips,name,county_dem_result,county_rep_result
CA,06027,Inyo,0,6150
CA,06051,Mono,0,3905
CA,06071,San Bernardino,216428,289774
ME,23001,ANDROSCOGGIN,22039,20502
ME,23003,AROOSTOOK,10855,14127
ME,23007,FRANKLIN,6864,6008
ME,23009,HANCOCK,15245,10709
ME,23011,KENNEBEC,27964,23470
ME,23017,OXFORD,11334,11649
ME,23019,PENOBSCOT,28892,31002
ME,23021,PISCATAQUIS,2866,3995
ME,23025,SOMERSET,8206,10924
ME,23027,WALDO,10052,7986
ME,23029,WASHINGTON,5657,6447
OK,40037,Creek,5943,16531
OK,40131,Rogers,8428,22893
OK,40143,Tulsa,87904,113018
OK,40145,Wagoner,7588,18177
OK,40147,Washington,5253,12471
HI,15003,Honolulu,183084,61914
CO,08013,Boulder,130071,38116
CO,08014,Broomfield,20290,13019
CO,08019,Clear Creek,2847,2062
CO,08037,Eagle,13308,7935
CO,08047,Gilpin,1732,1304
CO,08049,Grand,3328,3609
CO,08059,Jefferson,173265,118773
CO,08069,Larimer,92787,72558
CO,08093,Park,3474,5350
CO,08117,Summit,8835,4068
MI,26035,Clare,3965,7687
MI,26037,Clinton,15507,19876
MI,26051,Gladwin,3499,7311
MI,26057,Gratiot,5186,8827
MI,26073,Isabella,10452,11445
MI,26107,Mecosta,5734,9543
MI,26111,Midland,14428,23469
MI,26113,Missaukee,1521,4943
MI,26117,Montcalm,7811,14403
MI,26129,Ogemaw,2827,5977
MI,26133,Osceola,2560,6663
MI,26143,Roscommon,3951,7556
MI,26145,Saginaw,40093,37179
MI,26155,Shiawassee,11840,17222
MI,26165,Wexford,4397,9270
WI,55027,Dodge,13740,23382
WI,55055,Jefferson,15702,21760
WI,55079,Milwaukee,262507,117386
WI,55127,Walworth,16892,26735
WI,55131,Washington,18940,50848
WI,55133,Waukesha,71978,143480
TX,48141,El Paso,138506,52512
AR,05001,Arkansas,1406,3428
AR,05005,Baxter,3189,10712
AR,05017,Chicot,1929,1537
AR,05021,Clay,842,3182
AR,05023,Cleburne,1503,7928
AR,05031,Craighead,8087,17389
AR,05035,Crittenden,6085,5601
AR,05037,Cross,1441,4235
AR,05041,Desha,1653,1658
AR,05049,Fulton,933,2790
AR,05055,Greene,2176,8470
AR,05063,Independence,1980,7879
AR,05065,Izard,838,3524
AR,05067,Jackson,1082,3014
AR,05069,Jefferson,11336,7837
AR,05075,Lawrence,922,3616
AR,05077,Lee,1154,924
AR,05079,Lincoln,875,1971
AR,05085,Lonoke,4259,15728
AR,05093,Mississippi,3659,6460
AR,05095,Monroe,1131,1408
AR,05107,Phillips,3125,2182
AR,05111,Poinsett,1273,4651
AR,05117,Prairie,628,2144
AR,05121,Randolph,1149,4268
AR,05123,Saint Francis,3038,2587
AR,05129,Searcy,478,2546
AR,05135,Sharp,1102,4407
AR,05137,Stone,954,3346
AR,05147,Woodruff,829,1208
NY,36103,Suffolk,266419,263029
